"","inside_or_outside","gender","age","education","origin","destination","companions","trip_purpose","mode_security","point_security","importance_safety","most_safe","least_safe","bus_or_ped","base_study_zone","busdestination","total_seats","haversine","urban_typology","total_passenger_count","total_female_count","empty_seats","hour_sin","hour_cos","week_day","latitude","longitude"
"572","Dentro CETRAM","female","25-44","Secundaria","Ecatepec de Morelos","Tecamec","None","Compra","3",3,"5","Peseros","Taxi","Van","Azteca","Heroes Tecamec","15",3.23538293721413,"5",9,5,6,-0.258819,-0.965926,"5",19.55371,-99.05073
"7","Fuera CETRAM","male","18-24","Preparatoria","Atizapan de Zaragoza","Nicolas Romero","1 to 2","Compra","2",5,"5","BRT","Peseros","Bus","El Rosario","Mexico Nueva","35",0.353599816707523,"3",0,0,0,-0.258819,-0.965926,"3",19.50336,-99.20313
"326","Fuera CETRAM","male","25-44","Licenciatura","Nezahualcoyotl","Ecatepec de Morelos","None","Trabajo","1",1,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",1.47418282924818,"5",0,0,0,-0.258819,-0.965926,"2",19.54315,-99.0382
"337","Dentro CETRAM","male","25-44","Licenciatura","Gustavo A. Madero","Gustavo A. Madero","None","Otro","4",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",21.2052610892275,"0",0,0,0,-0.500000,-0.866025,"6",19.4421,-99.20442
"476","Dentro CETRAM","female","25-44","Preparatoria","Tecamec","Tecamec","1 to 2","Otro","4",3,"5","Trolebus","Metro","Van","Azteca","Mexipuerto","15",9.62093299771142,"2",12,9,3,-0.866025,-0.500000,"1",19.62105,-99.02519
"90","Dentro CETRAM","female","0-17","Secundaria","Ecatepec de Morelos","Tecamec","1 to 2","Recreacion","3",5,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",0.429602956042221,"2",0,0,0,-0.258819,-0.965926,"2",19.53548,-99.02351
"775","Fuera CETRAM","female","18-24","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","1",1,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",3.81444983672559,"6",18,4,12,-1.000000,-0.000000,"1",19.53092,-99.22318
"359","Fuera CETRAM","male","18-24","Secundaria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Otro","4",2,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",8.62080951295118,"2",0,0,0,-0.500000,-0.866025,"7",19.56427,-99.25236
"751","Dentro CETRAM","male","0-17","Secundaria","Ecatepec de Morelos","Tecamec","None","Trabajo","5",3,"3","Trolebus","Peseros","Van","Azteca","Heroes Tecamec","15",0.134297938855229,"6",4,2,11,-0.866025,-0.500000,"2",19.53567,-99.027
"643","Fuera CETRAM","female","45-64","Preparatoria","Tecamec","Nezahualcoyotl","1 to 2","Recreacion","1",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",10.793461674103,"6",7,4,8,-0.965926,-0.258819,"3",19.62935,-99.04965
"422","Fuera CETRAM","male","25-44","Preparatoria","Nicolas Romero","Tecamec","None","Otro","3",5,"5","Trolebus","Metro","Van","Azteca","Heroes Tecamec","15",10.2966089607975,"2",0,0,0,-0.258819,-0.965926,"2",19.62683,-99.01928
"898","Fuera CETRAM","female","18-24","Licenciatura","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Estudio","2",3,"5","Taxi","Peseros","Bus","El Rosario","Mexico Nueva","35",2.1581938634673,"2",16,0,19,-0.965926,-0.258819,"3",19.51442,-99.21767
"268","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","2",4,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",4.21392804071033,"5",0,0,0,-0.707107,-0.707107,"2",19.56919,-99.04381
"587","Dentro CETRAM","female","65+","Primaria","Tecamec","Ecatepec de Morelos","None","Recreacion","1",1,"4","Metro","Peseros","Van","Azteca","Mexipuerto","15",8.88544542605824,"6",9,4,6,-1.000000,-0.000000,"2",19.61339,-99.04134
"954","Fuera CETRAM","male","45-64","Licenciatura","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Trabajo","1",1,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",8.5322756694723,"5",17,0,28,-0.258819,-0.965926,"4",19.55655,-99.25979
"430","Fuera CETRAM","male","65+","Primaria","Tecamec","Ecatepec de Morelos","None","Otro","2",1,"5","Taxi","Peseros","Van","Azteca","Mexipuerto","15",10.1397085889021,"2",0,0,0,-0.500000,-0.866025,"5",19.62564,-99.0229
"687","Fuera CETRAM","female","18-24","Secundaria","Ecatepec de Morelos","Nezahualcoyotl","None","Otro","5",3,"5","Metro","BRT","Van","Azteca","Mexipuerto","15",2.41152848544752,"9",6,1,9,-0.500000,-0.866025,"3",19.54866,-99.04497
"941","Fuera CETRAM","female","25-44","Primaria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Otro","4",4,"4","Peseros","Metro","Bus","El Rosario","El Rosario","35",1.99660552362287,"6",20,5,25,-0.258819,-0.965926,"5",19.51944,-99.21053
"844","Fuera CETRAM","female","25-44","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","None","Recreacion","3",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",0.780252094244904,"9",1,1,14,-0.866025,-0.500000,"3",19.54067,-99.03114
"919","Fuera CETRAM","male","25-44","Licenciatura","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Trabajo","2",2,"1","Trolebus","Taxi","Bus","El Rosario","El Rosario","35",0.486782261690335,"3",19,8,21,-0.500000,-0.866025,"3",19.50328,-99.20444
