,category,All variables,Perception,Personal trip,Sociodemographic,Time context,Trip context,Location
gaussian_process,sse,,,,,,,302.86
,osr2,,,,,,,0.07
,accuracy,,,,,,,0.26
,f1_score,,,,,,,0.12
linear_regression,sse,454.43,273.37,400.07,333.73,321.43,315.67,
,osr2,-0.39,0.16,-0.22,-0.02,0.01,0.03,
,accuracy,0.28,0.28,0.23,0.30,0.25,0.21,
,f1_score,0.01,0.03,0.01,0.04,0.01,0.13,
linear_regression_stepwise,sse,454.43,273.37,400.07,333.73,324.36,315.67,
,osr2,-0.39,0.16,-0.22,-0.02,0.02,0.03,
,accuracy,0.28,0.28,0.23,0.30,0.24,0.21,
,f1_score,0.01,0.03,0.01,0.04,0.01,0.13,
logistic_acc,sse,411.40,331.60,330.80,326.00,326.00,456.80,
,osr2,-0.26,-0.01,-0.01,0.00,0.00,-0.39,
,accuracy,0.34,0.39,0.30,0.30,0.30,0.32,
,f1_score,0.25,0.24,0.09,0.09,0.09,0.20,
logistic_f1,sse,414.00,361.40,516.20,411.80,455.80,456.80,
,osr2,-0.27,-0.11,-0.58,-0.26,-0.41,-0.39,
,accuracy,0.38,0.38,0.29,0.30,0.30,0.32,
,f1_score,0.33,0.26,0.24,0.14,0.23,0.20,
nnclass-acc,sse,418.00,325.20,435.80,326.00,448.40,428.00,
,osr2,-0.29,0.01,-0.34,0.00,-0.38,-0.32,
,accuracy,0.35,0.39,0.33,0.30,0.31,0.32,
,f1_score,0.27,0.21,0.21,0.09,0.20,0.19,
nnclass-f1,sse,438.40,367.20,504.00,455.00,463.40,465.40,
,osr2,-0.35,-0.13,-0.55,-0.40,-0.43,-0.42,
,accuracy,0.35,0.39,0.31,0.29,0.30,0.32,
,f1_score,0.29,0.28,0.23,0.15,0.23,0.20,
nnreg,sse,275.27,274.84,316.27,328.33,317.04,313.72,
,osr2,0.15,0.16,0.03,0.00,0.03,0.04,
,accuracy,0.24,0.28,0.23,0.30,0.28,0.23,
,f1_score,0.15,0.14,0.11,0.09,0.12,0.10,
