"","inside_or_outside","gender","age","education","origin","destination","companions","trip_purpose","mode_security","point_security","importance_safety","most_safe","least_safe","bus_or_ped","base_study_zone","busdestination","total_seats","haversine","urban_typology","total_passenger_count","total_female_count","empty_seats","hour","week_day"
"1","Fuera CETRAM","male","45-64","Licenciatura","Tlalnepantla de Baz","Miguel Hidalgo","None","Trabajo","4",4,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",513,"6",458,11,-418,"14","5"
"2","Fuera CETRAM","female","25-44","Secundaria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Recreacion","3",1,"5","Taxi","Peseros","Bus","El Rosario","Mexico Nueva","35",654,"6",268,11,-228,"15","5"
"3","Fuera CETRAM","male","25-44","Licenciatura","Tlalnepantla de Baz","Miguel Hidalgo","None","Trabajo","4",4,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",425,"3",268,11,-228,"15","5"
"4","Fuera CETRAM","female","18-24","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Compra","4",3,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",404,"3",128,28,-88,"13","3"
"5","Fuera CETRAM","male","18-24","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","1 to 2","Trabajo","2",1,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",404,"3",128,28,-88,"13","3"
"6","Fuera CETRAM","female","25-44","Licenciatura","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Compra","3",4,"5","Trolebus","Peseros","Bus","El Rosario","Mexico Nueva","35",234,"1",74,19,-34,"13","3"
"7","Fuera CETRAM","male","18-24","Preparatoria","Atizapan de Zaragoza","Nicolas Romero","1 to 2","Compra","2",5,"5","BRT","Peseros","Bus","El Rosario","Mexico Nueva","35",404,"3",74,19,-34,"13","3"
"8","Fuera CETRAM","male","18-24","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Recreacion","4",3,"3","BRT","Peseros","Bus","El Rosario","Mexico Nueva","35",234,"1",74,19,-34,"13","3"
"9","Fuera CETRAM","male","18-24","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","None","Otro","4",5,"3","Peseros","Taxi","Bus","El Rosario","Mexico Nueva","35",404,"3",74,19,-34,"13","3"
"10","Fuera CETRAM","male","45-64","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","1 to 2","Trabajo","3",3,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",587,"2",61,0,-21,"14","5"
